,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,text,truncated,user
0,,,Sat Jul 15 20:29:54 +0000 2017,"{'hashtags': [{'text': 'USWomensOpen', 'indices': [16, 29]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,39273,False,,886321948275429381,886321948275429381,,,,,,False,en,,,7556,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Just got to the #USWomensOpen in Bedminster, New Jersey. People are really happy with record high stock market - up over 17% since election!",False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
1,,,Sat Jul 15 20:19:28 +0000 2017,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 886319316894744576, 'id_str': '886319316894744576', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/DEzWuQkUAAARsCN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DEzWuQkUAAARsCN.jpg', 'url': 'https://t.co/3eYF3nir4B', 'display_url': 'pic.twitter.com/3eYF3nir4B', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/886319322154586112/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 320, 'resize': 'fit'}, 'small': {'w': 640, 'h': 320, 'resize': 'fit'}, 'large': {'w': 640, 'h': 320, 'resize': 'fit'}}}]}","{'media': [{'id': 886319316894744576, 'id_str': '886319316894744576', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/DEzWuQkUAAARsCN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DEzWuQkUAAARsCN.jpg', 'url': 'https://t.co/3eYF3nir4B', 'display_url': 'pic.twitter.com/3eYF3nir4B', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/886319322154586112/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 320, 'resize': 'fit'}, 'small': {'w': 640, 'h': 320, 'resize': 'fit'}, 'large': {'w': 640, 'h': 320, 'resize': 'fit'}}}]}",35925,False,,886319322154586112,886319322154586112,,,,,,False,en,,False,8750,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MAKE AMERICA GREAT AGAIN! https://t.co/3eYF3nir4B,False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
2,,,Sat Jul 15 17:56:57 +0000 2017,"{'hashtags': [{'text': 'WeeklyAddress', 'indices': [100, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 886274422717509633, 'id_str': '886274422717509633', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/886274422717509633/img/ExJQBROrBq5b4nWB.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/886274422717509633/img/ExJQBROrBq5b4nWB.jpg', 'url': 'https://t.co/xjVDkgo1NK', 'display_url': 'pic.twitter.com/xjVDkgo1NK', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/886283456644251652/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}}}]}","{'media': [{'id': 886274422717509633, 'id_str': '886274422717509633', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/886274422717509633/img/ExJQBROrBq5b4nWB.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/886274422717509633/img/ExJQBROrBq5b4nWB.jpg', 'url': 'https://t.co/xjVDkgo1NK', 'display_url': 'pic.twitter.com/xjVDkgo1NK', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/886283456644251652/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 278945, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/886274422717509633/vid/1280x720/pPxohnI3Yz7eool1.mp4'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/886274422717509633/vid/640x360/ObDFsJjxsAVDBQjV.mp4'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/886274422717509633/vid/320x180/bAb9U5ojzH-mSzQK.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/886274422717509633/pl/pUW8K1v7woIJ6ylO.m3u8'}]}, 'additional_media_info': {'title': ""PRESIDENT TRUMP'S WEEKLY ADDRESS"", 'description': '', 'embeddable': True, 'monetizable': False}}]}",36935,False,,886283456644251652,886283456644251652,,,,,,False,en,,False,8858,False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Next week the Senate is going to vote on legislation to save Americans from the ObamaCare DISASTER. #WeeklyAddress🇺🇸 https://t.co/xjVDkgo1NK,False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
3,,,Sat Jul 15 16:33:34 +0000 2017,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,40199,False,,886262474277888002,886262474277888002,,,,,,False,en,,,5563,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Will be at the Women's U.S. Open today!,False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
4,,,Sat Jul 15 16:30:23 +0000 2017,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,58921,False,,886261674029854721,886261674029854721,,,,,,False,en,,,13707,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stock Market hit another all-time high yesterday - despite the Russian hoax story! Also, jobs numbers are starting to look very good!",False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
5,,,Sat Jul 15 16:21:12 +0000 2017,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,58879,False,,886259363412926464,886259363412926464,,,,,,False,en,,,12238,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!,False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
6,,,Sat Jul 15 03:02:59 +0000 2017,"{'hashtags': [{'text': 'USWomensOpen', 'indices': [23, 36]}], 'symbols': [], 'user_mentions': [{'screen_name': 'USGA', 'name': 'USGA', 'id': 16257130, 'id_str': '16257130', 'indices': [17, 22]}], 'urls': []}",,43195,False,,886058483392622592,886058483392622592,,,,,,False,en,,,6969,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I will be at the @USGA #USWomensOpen in Bedminster, NJ tomorrow. Big crowds expected &amp; the women are playing great-should be very exciting!",False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
7,,,Sat Jul 15 01:34:31 +0000 2017,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bV3TzhqQfK', 'expanded_url': 'https://twitter.com/i/web/status/886036222308757504', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [116, 139]}]}",,91203,False,,886036222308757504,886036222308757504,,,,,,False,en,,False,19230,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Honored to serve as Commander-in-Chief to the courageous men and women of our U.S. Armed Forces. A grateful nation… https://t.co/bV3TzhqQfK,True,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
8,,,Fri Jul 14 22:39:14 +0000 2017,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EmmanuelMacron', 'name': 'Emmanuel Macron', 'id': 1976143068, 'id_str': '1976143068', 'indices': [10, 25]}], 'urls': [{'url': 'https://t.co/TQH3wEGxT8', 'expanded_url': 'https://twitter.com/i/web/status/885992108565291008', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [112, 135]}]}",,64202,False,,885992108565291008,885992108565291008,,,,,,False,en,,False,16013,False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","President @EmmanuelMacron,
Thank you for inviting Melania and myself to such a historic celebration in France.… https://t.co/TQH3wEGxT8",True,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
9,,,Fri Jul 14 22:22:58 +0000 2017,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EmmanuelMacron', 'name': 'Emmanuel Macron', 'id': 1976143068, 'id_str': '1976143068', 'indices': [74, 89]}], 'urls': []}",,54321,False,,885988016912838656,885988016912838656,,,,,,False,en,,,9616,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Just landed from Paris, France. It was an incredible visit with President @EmmanuelMacron. A lot discussed and accomplished in two days!",False,"{'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 33856515, 'friends_count': 45, 'listed_count': 73040, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 14, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 35298, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1500067474', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': True, 'follow_request_sent': False, 'notifications': True, 'translator_type': 'regular'}"
